Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Shake Shack's Classic Cheeseburger,"1. ½ cup Hellman's mayonnaise
2. 1 tablespoon Dijon mustard
3. 1 teaspoon Heinz ketchup
4. ¼ teaspoon kosher dill pickle brine
5. Pinch cayenne pepper
6. 4 hamburger potato buns
7. 4 tablespoons unsalted butter, melted
8. ShackSauce
9. 4 pieces green-leaf lettuce
10. Eight ¼-inch slices plum tomatoes
11. 1 pound cold ground beef, formed into four 1-inch-thick pucks
12. Kosher salt and freshly ground pepper, to taste
13. 4 slices American cheese","1. Make the ShackSauce: In a small bowl, stir all of the sauce ingredients until smooth, then set aside.
2. Make the ShackBurgers: Heat a large cast-iron skillet over medium-low heat. Meanwhile, open the hamburger buns and brush both sides liberally with the melted butter. Working in 2 batches, place the buns onto the heated skillet, buttered-sides down, and cook until golden brown, 2 to 3 minutes. Transfer to a plate and spoon 1 tablespoon of sauce on each top bun, along with a piece of lettuce and 2 slices of tomato.
3. Increase the heat to medium and let the pan heat up for 2 to 3 minutes. On a plate, season both sides of each puck of ground beef with salt and pepper.
4. Place the pucks into the cast-iron skillet, leaving plenty of room between them. Using a large, sturdy metal spatula, firmly smash each puck into a ⅓-inch-thick round patty. Cook the burgers without touching them until the edges are brown and crisp, 2½ minutes, then flip them. Place a slice of American cheese on each burger and continue to cook until medium, 1 minute more.
5. Transfer a cheeseburger to each bottom bun, then sandwich with the top bun and lettuce and tomato, and serve.",4 burgers,"Prep: 20 minutes
Cook: 10 minutes
Total: 30 minutes","Recipe adapted from 'Shake Shack: Recipes & Stories,' by Randy Garutti and Mark Rosati",Tasting Table Staff,https://www.tastingtable.com/cook/recipes/shake-shack-cheese-burger-recipe
,,,,,,,http://www.jewishfoodsociety.org/blog/2017/5/19/an-egyptian-stew-for-your-best-beach-day
,,,,,,,https://thenaughtyfork.com/we-attempted-the-levain-cookie-and-this-is-what-happened/
Summer Squash Gratin,"1. 4 tablespoons extra-virgin olive oil, divided
2. 3 small leeks (1/2 pound), white and tender green parts thinly sliced into rounds
3. 1/4 cup dry white wine
4. 3 medium zucchini, cut lengthwise into 1/8-inch-thick slices, preferably on a mandoline
5. 3 medium yellow summer squash, cut lengthwise into 1/8-inch-thick slices, preferably on a mandoline
6. Kosher salt
7. Pepper
8. 1 cup finely shredded Gruyère (about 2 ounces)
9. 1 plum tomato, very thinly sliced crosswise
10. Flaky sea salt and crusty bread, for serving","1. Preheat the oven to 425°F. In a large skillet, heat 1 tablespoon of oil over medium-high heat. Add the leeks and cook, stirring occasionally, until softened, about 3 minutes. Add the wine and cook until evaporated, about 2 minutes. Spread in a 9-inch round baking dish.
2. Spread the zucchini and yellow squash on 2 large baking sheets. Brush with the remaining 3 tablespoons of oil; season with salt and pepper. Sprinkle with the cheese and let sit until slightly softened, about 5 minutes.
3. Tightly roll 1 piece of zucchini and set it on the leeks in the center of the dish. Working outward from that center slice, continue rolling and coiling additional pieces of zucchini and yellow squash until you reach the edge of the baking dish. Season the tomato slices with salt and pepper, then tuck in intervals between the zucchini and squash. Scrape any cheese off of the baking sheets and sprinkle on top.
4. Bake until the zucchini and squash are tender and browned in spots, about 30 minutes. Sprinkle with sea salt. Let cool slightly, then serve with crusty bread.",Servings: 4,"Prep: 30 mins
Cook: 1 hr
Total: 1 hr 30 mins","['Try to pick zucchini and yellow squash that are the same size to make the gratin as even as possible when cooking.', 'The gratin can be assembled but not baked up to two hours in advance. Refrigerate until ready to bake.']",Laura Rege,https://www.foodandwine.com/recipes/summer-squash-gratin
Chile Relleno Breakfast Casserole,"1. 1¾ pounds (12 medium) poblano chiles
2. 1½ cups half-and-half
3. 2 tablespoons all-purpose flour
4. 1 tablespoon kosher salt
5. 8 eggs
6. 1 garlic clove
7. Nonstick cooking spray
8. 2 cups grated Monterey Jack cheese
9. Boiling water, for baking","1. Preheat the broiler to high and line a sheet pan with foil. Line the chiles next to each other on the pan and broil, turning as needed, until the chiles are well charred, 4 to 5 minutes. Transfer to a heatproof bowl and cover with plastic wrap. Let steam for 15 minutes, then peel and deseed the poblanos using the back of a knife.
2. Lower the oven temperature to 300°. In a blender, combine the half-and-half, flour, salt, eggs and garlic. Blend on medium until smooth.
3. Grease a 9-by-13-inch baking dish with cooking spray and line with a quarter of the roast poblanos, followed by a quarter of the grated cheese. Continue this layering process until all the chiles and cheese have been used. Pour the egg mixture in to cover the chiles and cheese.
4. Place the baking dish in a roasting pan and fill the roasting pan with enough boiling water to come up halfway along the sides of the baking dish. Bake until the eggs begin to set, 30 minutes, then raise the temperature to 400° and bake for another 10 to 15 minutes, until the eggs are fully cooked and the top is golden brown.
5. Let rest at room temperature for 15 minutes, then slice and serve.",6 to 8 servings,"Prep: 15 minutes
Cook: 45 minutes
Total: 1 hour","The casserole starts out at 300 degrees, then gets bumped up to 400. Since every oven heats up at different times, keep an eye on the casserole. You're looking for the eggs to jiggle when you move the dish. To confirm, use an instant-read thermometer to see that it has reached 170 degrees.",Tasting Table Staff,https://www.tastingtable.com/cook/recipes/chile-relleno-casserole-recipe-eggs-cheese
Lamb Burgers with Lemon-Caper Aioli and Fennel Slaw,"1. ¼ cup rinsed salt-packed capers
2. 1 cup mayonnaise
3. 2 tablespoons olive oil
4. 1 teaspoon finely grated lemon zest
5. 3 tablespoons (or more) fresh lemon juice
6. 1 teaspoon Dijon mustard
7. 2 garlic cloves, finely grated
8. Kosher salt
9. 1½ pounds ground lamb, preferably grass-fed
10. 4 tablespoons olive oil, divided
11. 3 celery stalks, thinly sliced on the diagonal
12. ½ fennel bulb, thinly sliced; plus ¼ cup chopped fennel fronds (optional)
13. ¼ large sweet onion, thinly sliced
14. 3 tablespoons fresh lemon juice
15. 2 teaspoons crushed dried mint
16. Freshly ground black pepper
17. 4 potato or ciabatta rolls, toasted
18. Boquerones (marinated white anchovies; for serving)","1. Place capers in a small bowl and pour in warm water to cover. Let soak 20 minutes. Drain, rinse, and pat dry. Coarsely chop.
2. Whisk capers, mayonnaise, oil, lemon zest, lemon juice, mustard, and garlic in a medium bowl; taste and season with salt and more lemon juice, if desired.
3. Aioli can be made 1 day ahead. Cover and chill.
4. Shape lamb into 4 patties about 1"" thick, season with salt, and let sit at room temperature 30 minutes.
5. Heat 2 Tbsp. oil in a large skillet, ideally cast iron, over medium. Cook lamb patties, working in batches if needed, until browned (they won’t take on as much color as a beef burger), 5–7 minutes. Turn and cook until browned on second side, about 5 minutes for medium-rare. Transfer patties to a plate and let rest 10 minutes.
6. Meanwhile, toss celery, fennel, fennel fronds (if using), onion, lemon juice, dried mint, and remaining 2 Tbsp. oil in a medium bowl. Season slaw with salt and pepper.
7. Generously spread aioli on cut sides of buns and build each burger with a lamb patty, 3 or 4 boquerones, and a mound of slaw.",Makes 4,Cook: 12-14 minutes,"This is a messy burger, so the bib is not optional.",Nick Perkins,https://www.bonappetit.com/recipe/lamb-burgers-with-lemon-caper-aioli-and-fennel-slaw
Chilled Ramen with Soy Milk and Chili Oil,"1. 1 1-inch piece ginger, peeled, very finely chopped
2. ¼ cup toasted sesame oil
3. ¼ cup vegetable oil
4. 4½ teaspoons crushed red pepper flakes
5. 1 tablespoon paprika
6. 4 teaspoons toasted sesame seeds
7. 1 tablespoon mirin (sweet Japanese rice wine)
8. 1 tablespoon raw or granulated sugar
9. 1 tablespoon red or white miso
10. 1 tablespoon sake
11. 1 tablespoon Sichuan peppercorns
12. 2 scallions, thinly sliced
13. 1 1½-inch piece ginger, peeled, finely grated
14. 1 apple wedge (about ⅛ of apple), peeled, finely grated
15. 2 garlic cloves, finely grated
16. ⅔ cup white, sweet white, and/or red miso
17. 1 tablespoon mirin (sweet Japanese rice wine)
18. 1 tablespoon sake
19. 1½ teaspoons toban djan (chili bean paste)
20. ½ teaspoon crushed red pepper flakes
21. ¼ cup vegetable or other neutral oil
22. 2 scallions, thinly sliced
23. 1 teaspoon paprika
24. Kosher salt
25. 20 ounces frozen ramen noodles or 12 ounces dried ramen noodles
26. Kosher salt
27. 3 Persian cucumbers, cut into ½-inch pieces
28. 1 small red or orange bell pepper, ribs and seeds removed, very thinly sliced
29. ½ cup thinly sliced radishes
30. ¼ cup thinly sliced basil
31. 4 cups soy milk or other nondairy milk or regular milk
32. 1 3x1-inch strip grapefruit zest, very thinly sliced
33. 2 tablespoons white or regular soy sauce
34. Plain unsweetened granola or fried shallots, garlic chips, unsalted, dry-roasted peanuts, and/or any other store-bought crunchy toppings you want (for serving)","1. Bring ginger, sesame oil, vegetable oil, red pepper flakes, and paprika to a gentle simmer in a small saucepan over medium heat. Let bubble gently 30 seconds, then remove from heat. Add sesame seeds, mirin, raw sugar, miso, sake, and Sichuan peppercorns and whisk until sugar is dissolved. Return paste to a gentle simmer, then let cool.
2. Cook scallions, ginger, apple, garlic, miso, mirin, sake, toban djan, and red pepper flakes in a small saucepan over medium heat, stirring, just until warm (do not let it simmer) and garlic no longer tastes raw, about 5 minutes.
3. Heat oil in a small saucepan over medium-high until very hot but not quite smoking. Add scallions and paprika; season with salt. Cook, swirling pan often, until scallions are browned and oil is deep red, about 2 minutes. Let cool.
4. Cook noodles in a large pot of boiling salted water according to package instructions until al dente. Drain, then immediately chill in a bowl of ice water. Drain again.
5. Toss cucumbers, bell pepper, and radishes with 3 Tbsp. Sichuan chili paste in a small bowl until well coated. Season to taste with salt. Toss in basil.
6. Whisk miso tare into milk in a medium bowl, then whisk in grapefruit zest and soy sauce.
7. Divide noodles, then milk mixture and vegetables, among bowls. Toss granola or other crunchy toppings of choice in a little chili oil in a small bowl and scatter over noodles; drizzle with more chili oil.",4 servings,,"The homemade Sichuan chili paste and chili oil yield more than you need for this cold ramen recipe, but they will keep for weeks and make for great all-purpose condiments.",Shigetoshi “Jack” Nakamura,https://www.bonappetit.com/recipe/chilled-ramen-with-soy-milk-and-chili-oil
Pearl Couscous with Olives and Roasted Tomatoes,"1. 2 pints (1 1/2 pounds) grape or cherry tomatoes
2. 3 large garlic cloves, left unpeeled
3. 1/4 cup olive oil, plus more for tomatoes
4. 1/4 cup warm water
5. 1 teaspoon fresh lemon juice
6. 1 teaspoon kosher salt
7. 1/4 teaspoon black pepper
8. 2 3/4 cups vegetable broth
9. 2 1/4 cups (12 ounces or 340 grams) pearl couscous
10. 1/2 cup Kalamata or other brine-cured black olives, pitted and chopped
11. 1/3 cup chopped fresh flat-leaf parsley
12. 1/4 cup chopped fresh mint
13. 1 teaspoon chopped fresh thyme","1. Heat oven to 300°F. Halve tomatoes through stem ends and arrange, cut sides up, in 1 layer on a large baking sheet. Add garlic to pan and drizzle both tomatoes and garlic lightly with oil (about 1 tablespoon). Sprinkle with salt. Roast in middle of oven until tomatoes are slightly shriveled around edges, about 1 hour. Cool in pan on a rack 20 to 30 minutes.
2. Bring broth to a boil in a 3-quart heavy saucepan and stir in couscous, then simmer, uncovered, 6 minutes. Cover pan and remove from heat. Let stand 10 minutes. Spread couscous in one layer on a baking sheet or plate and cool 15 minutes.
3. Peel garlic and puree with 1/4 cup oil, water, lemon juice, 1 teaspoon salt, and 1/4 teaspoon pepper.
4. Combine roasted tomatoes, couscous, olives, parsley, mint, and thyme in a large bowl. Add dressing and toss gently to combine.","6 servings, heartily","Prep: 20 minutes
Cook: 1 hour
Total: 1 hour 50 minutes","This recipe was refreshed with new photos in June 2017. My primary changes were to bump up the roasted temperature to get the tomatoes more cooked in the hour, to season the tomatoes and slightly rearrange the process to make it more logical.",Deb,http://smittenkitchen.com/2007/07/pearl-couscous-with-olives-and-roasted-tomatoes/
,,,,,"Access to the webpage was denied, so recipe details are unavailable.",,https://www.foodnetwork.com/recipes/food-network-kitchen/waffled-bibimbap-recipe-2269109
,,,,,The content could not be fetched due to a connection error.,,https://m.domino.com/houseplant-trends-2016?utm_source=Sailthru&utm_medium=email&utm_campaign=6.27 Daily Active - Shutterfly Takeover&utm_content=D&utm_term=Daily Active
Sweet Corn Cacio E Pepe,"1. 6 medium corncobs, husked
2. 6 cups water
3. 5 black peppercorns
4. 2 bay leaves
5. 1 thyme sprig
6. Kosher salt, to taste
7. 1 pound dried spaghetti
8. 1 tablespoon freshly cracked black pepper
9. 1½ cups corn stock
10. 6 tablespoons unsalted butter, cubed
11. Reserved corn kernels
12. 1½ cups grated Parmesan
13. ½ cup grated Pecorino Romano","1. Make the corn stock: Slice off the kernels from the corncobs, reserving the kernels for later. Place the cobs in a medium saucepan with the remaining stock ingredients. Bring to a boil over high heat, then reduce the heat to medium and simmer until reduced to 1½ cups, 1 hour. Strain, discarding the solids.
2. Make the pasta: Bring a large pot of salted water to a boil. Add the pasta and cook, stirring occasionally, until very al dente, 6 minutes, then drain.
3. Meanwhile, in a large, deep skillet, toast the pepper over medium heat until fragrant, 1 to 2 minutes. Add the corn stock, butter and corn kernels, and bring to a simmer.
4. Add the pasta to the pan and cook, stirring constantly, until the pasta is fully cooked and the sauce has reduced slightly, 3 to 4 minutes.
5. Add the cheeses and continue to cook, stirring constantly, until the cheeses have melted and the pasta is fully coated in the sauce, 1 minute more. Divide between bowls and serve immediately.",4 to 6 servings,"Prep: 15 minutes
Cook: 1.17 hours
Total: 1 hour, 25 minutes",A flavorful corn stock and fresh corn kernels join forces with the classic pasta combo of cheese and pepper for a sweet summer twist on cacio e pepe.,Tasting Table Staff,https://www.tastingtable.com/cook/recipes/corn-cacio-e-pepe-pasta-recipe
,,,,,,,https://cookieandkate.com/2017/thai-peanut-quinoa-salad-recipe/
Wedge Salad With Blue Cheese Dressing,"1. 10 ounces blue cheese, crumbled (about 1¼ cups)
2. 1 cup mayonnaise
3. ½ cup sour cream
4. ¼ cup buttermilk
5. 1 tablespoon (or more) fresh lemon juice
6. 1 tablespoon poppy seeds
7. 1½ teaspoons garlic powder
8. 1½ teaspoons hot sauce
9. 1¼ teaspoons onion powder
10. 1 teaspoon freshly ground black pepper
11. ¾ teaspoon celery seeds
12. Kosher salt
13. ¼ cup dried minced garlic
14. ¼ cup dried minced onion
15. ¼ cup poppy seeds
16. ¼ cup sesame seeds
17. 8 ounces thick-cut bacon, cut into ½-inch pieces
18. 1 pint cherry tomatoes, halved
19. 1 tablespoon fresh lemon juice
20. 1 tablespoon olive oil
21. Kosher salt, freshly ground pepper
22. 2 heads of iceberg lettuce, cored, halved
23. Torn dill sprigs (for serving)","1. Mix blue cheese, mayonnaise, sour cream, buttermilk, lemon juice, poppy seeds, garlic powder, hot sauce, onion powder, pepper, and celery seeds in a medium bowl. Season with salt, and more lemon juice if needed.
2. Dressing can be made 1 day ahead. Cover and chill.
3. Toast minced garlic, minced onion, poppy seeds, and sesame seeds in a medium skillet over medium heat, tossing constantly, until golden brown, 3–5 minutes (watch carefully; you don’t want to let mixture toast too much or garlic will be bitter). Immediately spread out on a rimmed baking sheet and let cool.
4. Cook bacon in same skillet over medium-high heat, turning occasionally, until brown and crisp, 6–8 minutes. Transfer to paper towels to drain.
5. Toss tomatoes with lemon juice and oil in a small bowl; season with salt and pepper. Let sit 5 minutes.
6. Season cut sides of lettuce with a pinch of salt and a few grinds of pepper. Push tomatoes between leaves and into any crevices. Drizzle with dressing, working into crevices and between leaves. Sprinkle with toasted seed mixture. Top with bacon, dill sprigs, and a few grinds of pepper.",4 servings,,Dressing can be made 1 day ahead. Cover and chill.,Mason Hereford,https://www.bonappetit.com/recipe/wedge-salad-with-blue-cheese-dressing
Eggplant Lasagna,"1. 20 ounces eggplant
2. Olive oil
3. Sea salt
4. Black pepper
5. 1 pound ground beef
6. 1 1/2 cups marinara sauce
7. 2 cloves garlic
8. Italian seasoning
9. 1 cup ricotta cheese
10. 1/2 cup grated Parmesan cheese
11. 1 egg
12. 2 cups shredded mozzarella cheese","1. Preheat the oven to 400 degrees F (204 degrees C).
2. Slice the eggplant into 1/4 inch slices. Arrange in a single layer on a baking sheet. Drizzle with olive oil and sprinkle with sea salt and black pepper.
3. Roast the eggplant slices in the oven for 15-20 minutes, until soft and golden.
4. Meanwhile, heat olive oil in a large skillet over medium heat. Add minced garlic and sauté until fragrant.
5. Add ground beef to the skillet. Cook until browned, breaking apart with a spatula.
6. Stir in the marinara sauce and Italian seasoning. Simmer for a few minutes until the sauce thickens.
7. In a bowl, mix together ricotta cheese, grated Parmesan cheese, and egg.
8. Spread a thin layer of meat sauce at the bottom of a baking dish.
9. Layer half of the roasted eggplant slices over the meat sauce.
10. Spread half of the ricotta mixture over the eggplant.
11. Sprinkle with half of the mozzarella cheese.
12. Repeat the layers: meat sauce, eggplant, ricotta mixture, and mozzarella cheese.
13. Cover the baking dish with foil and bake for 25 minutes.
14. Remove the foil and bake for another 10-15 minutes, until the cheese is bubbly and golden.
15. Let the lasagna cool for a few minutes before slicing and serving.",6 servings,"Prep: 20 minutes
Cook: 45 minutes
Total: 1 hour 5 minutes","For a spicier version, add a pinch of crushed red pepper flakes to the meat sauce.",Maya Krampf,https://www.wholesomeyum.com/recipes/eggplant-lasagna-recipe-without-noodles-low-carb-gluten-free/
"Corn Chowder with Chile, Lime and Cotija","1. 8 medium/large ears corn, husks and silks removed
2. 1 tablespoon olive oil
3. 1 tablespoon butter
4. 1 large onion, preferably Spanish, chopped fine
5. 2 medium cloves garlic, minced
6. 1 to 2 jalapeño peppers, finely chopped
7. 1 tablespoon mild chili powder or 1 teaspoon of a hotter one
8. 3 tablespoons (25 grams) all-purpose flour
9. 4 cups (945 ml) vegetable or chicken stock or broth
10. 2 15-ounce cans small red or black beans, drained and rinsed (or one of each) (3 1/2 cups)
11. 1 cup (235 ml) whole milk
12. Salt and freshly ground black pepper or cayenne to taste
13. 1/2 to 1 cup (120 to 235 ml) heavy cream
14. 1/4 cup (50 grams) mayonnaise
15. 1/4 cup (60 grams) sour cream or Mexican crema
16. 1/2 cup (110 grams) finely crumbled Cotija, feta or ricotta salata cheese, plus more for serving
17. 1 lime, divided
18. 1/4 cup finely chopped fresh cilantro
19. Chili powder or a chili-lime seasoning such as Tajín
20. Baked tortilla chips (optional)","1. With a sharp knife, cut kernels from 8 ears corn (you should have about 6 cups); transfer half to a bowl. Chop the other half into pulpy bits on a cutting board or blend them in a food processor until half-pureed. Add to bowl. Firmly scrape any pulp remaining on cobs with back of knife into bowl with corn. Set corn aside.
2. In a large (5 quarts is ideal) heavy pot, heat olive oil and butter over medium. Add onion and cook until tender and beginning to brown at the edges, about 6 to 8 minutes. Add garlic, jalapeño and chili powder and cook together for 2 minutes more. Add flour and stir into onion-garlic mixture until it disappears. Stirring constantly, gradually add stock.
3. Add beans, corn, and 1 cup milk and bring to a simmer. Simmer, stirring occasionally, for 10 to 13 minutes, until corn is tender. Add salt and freshly ground black pepper or cayenne to taste. Add cream to taste and cook for 3 minutes more.
4. Combine mayonnaise, sour cream or crema, cheese, and juice of half a lime in a bowl; stir to combine. Cut second half of lime into wedges.
5. Ladle soup into bowls and dollop in center with 1 tablespoon (or more to taste) of mayo-cheese mixture. Squeeze lime juice over to taste, sprinkle with chili powder and chopped cilantro and serve, baked tortilla chips on the side if you wish.",6 to 8 servings,"Cook: 1 hour
Total: 1 hour","The finishing mixture is mostly from Serious Eat’s Elotes recipe, although I nixed the garlic and keep the cilantro and chili powder separate. If you use only 1 tablespoon of it per serving, you will probably have extra but I wanted to give you the option to use more if you wish.",Deb,https://smittenkitchen.com/2017/08/corn-chowder-with-chile-lime-and-cotija/
,,,,,,,https://thealmondeater.com/2017/08/paleo-broccoli-shrimp-with-zucchini-noodles/
,,,,,,,https://www.jamesbeard.org/recipes/caramelized-onion-tomato-soup
,,,,,,,https://www.franceandson.com/blog/cat/get-this-look-collections/post/Growing-Green-A-Guide-for-Adding-Houseplants-to-Your-Space/?redirect_log_mongo_id=59b212ae6cd4b3169d2ae89b&redirect_mongo_id=59b1a2ea3065ec7fed429ff3&sb_referer_host=&utm_campaign=Facebook&utm_medium=Web&utm_source=Springbot
Chocolate Croissant Bread Pudding with Bourbon Ice Cream Sauce,,,,,"Access to the webpage was denied, so specific details about the recipe could not be extracted.",Michael Chiarello,https://www.foodnetwork.com/recipes/michael-chiarello/chocolate-croissant-bread-pudding-with-bourbon-ice-cream-sauce-recipe-1945413
Hot Charred Cherry Tomatoes with Cold Yoghurt,"1. 350g cherry tomatoes
2. 3 tbsp olive oil
3. ¾ tsp cumin seeds
4. ½ tsp light brown sugar
5. 3 garlic cloves, peeled and finely sliced
6. 3 sprigs thyme
7. 5g fresh oregano, 3 sprigs left whole, the rest picked and roughly chopped, to serve
8. 1 lemon – zest of one half shaved off in 3 wide strips, the other half grated
9. Flaked sea salt and black pepper
10. 350g fridge-cold extra-thick Greek-style yoghurt
11. 1 tsp urfa chilli flakes (or ½ tsp regular chilli flakes)","1. Heat the oven to 200C/425F/gas mark 7.
2. Put the tomatoes in a baking dish that’s just large enough to accommodate them all snugly.
3. Add the oil, cumin, sugar, garlic, thyme, oregano sprigs, lemon strips, half a teaspoon of salt and a good grind of pepper.
4. Roast for 20 minutes, until the tomatoes are beginning to blister and the liquid is bubbling.
5. Turn the oven to the grill setting and grill for six to eight minutes, until the tomatoes start to blacken on top.
6. While the tomatoes are roasting, mix the yoghurt with the grated lemon zest and a quarter-teaspoon of salt, then return to the fridge.
7. Once the tomatoes are ready, spread out the chilled yoghurt on a platter (with a lip) or wide shallow bowl, and make a few dips in it here and there with the back of a spoon.
8. Spoon the hot tomatoes on top, as well as the pan juices, lemon peel, garlic and herbs, and finish with the remaining oregano and chilli.
9. Serve at once with some good crusty bread.",Serves four as a starter or mezze,Cook: 30 minutes,"The beauty of this dish lies in the exciting contrast between hot, juicy tomatoes and fridge-cold yoghurt.",Yotam Ottolenghi,https://www.theguardian.com/lifeandstyle/2017/sep/23/tomato-recipes-salad-red-onion-chickpea-chinese-ginger-yoghurt-yotam-ottolenghi
Double Chocolate Croissant Bread Pudding,,,,,Unable to access the webpage content to extract detailed recipe information.,Food Network Kitchen,https://www.foodnetwork.com/recipes/food-network-kitchen/double-chocolate-croissant-bread-pudding-3363527
,,,,,,,https://thecastawaykitchen.com/2017/04/flourless-avocado-brownies-paleo-keto-low-carb-grain-free/
Brooklyn Blackout Cake,"1. Unsalted butter, room temperature (for pans)
2. ¾ cup (63 g) Dutch-process cocoa powder, plus more for pans
3. 1½ cups (187 g) all-purpose flour
4. 1½ tsp. baking soda
5. ¾ tsp. baking powder
6. 1 large egg plus 1 large egg yolk, room temperature
7. 1½ cups (packed; 320 g) dark brown sugar
8. ¾ cup sour cream, room temperature
9. 5 Tbsp. vegetable oil
10. 2 tsp. vanilla extract
11. ¾ tsp. Diamond Crystal or ¼ tsp. plus ⅛ tsp. Morton kosher salt
12. ⅓ cup (28 g) Dutch-process cocoa powder
13. 5 Tbsp. (35 g) cornstarch
14. 1¼ cups heavy cream
15. 4 large egg yolks, beaten to blend
16. 1¼ cups whole milk
17. ⅔ cup (packed; 142 g) dark brown sugar
18. ¼ tsp. kosher salt
19. 4 oz. milk chocolate, chopped
20. 1 tsp. vanilla extract
21. 1 cup heavy cream
22. 3 Tbsp. golden syrup (such as Lyle’s Golden Syrup)
23. ⅛ tsp. kosher salt
24. 12 oz. bittersweet chocolate, chopped
25. ¾ cup sour cream
26. 2 Tbsp. unsalted butter","1. Arrange a rack in center of oven; preheat oven to 350°. Line two 8x2""-deep round cake pans with parchment paper. Grease with unsalted butter, then dust with cocoa powder, tapping out excess.
2. Sift ¾ cup (63 g) Dutch-process cocoa powder, 1½ cups (187 g) all-purpose flour, 1½ tsp. baking soda, and ¾ tsp. baking powder into a medium bowl, then whisk to combine. Whisk 1 large egg plus 1 large egg yolk, room temperature, 1½ cups (packed; 320 g) dark brown sugar, ¾ cup sour cream, room temperature, 5 Tbsp. vegetable oil, 2 tsp. vanilla extract, ¾ tsp. Diamond Crystal or ¼ tsp. plus ⅛ tsp. Morton kosher salt, and ¾ cup hot water in a large bowl until smooth. Whisk in dry ingredients until just combined.
3. Divide batter between prepared pans. Bake cake until a toothpick or cake tester inserted into the center comes out clean, 25–35 minutes. Transfer pans to a wire rack; let cake cool completely in pan.",12–16 servings,"Cook: 25–35 minutes
Total: 4 hours 10 minutes","The milky chocolate pudding filling is a richer, more chocolaty version of pudding cups. Golden syrup can be substituted with dark corn syrup.",Rick Martinez,https://www.bonappetit.com/recipe/blackout-cake
Cuban-Style Black Beans,"1. 1 lb. dried black beans, picked through, rinsed
2. 1 bay leaf
3. 1 medium onion, finely chopped, divided
4. 1 green bell pepper, seeds and ribs removed, finely chopped, divided
5. 8 garlic cloves, finely grated, divided
6. 5 tsp. Diamond Crystal or 1 Tbsp. Morton kosher salt, plus more
7. 1 tsp. dried oregano (preferably Mexican), divided
8. ¼ cup extra-virgin olive oil
9. Freshly ground black pepper
10. Cilantro leaves with tender stems (for serving; optional)","1. Bring 1 lb. dried black beans, picked through, rinsed, 1 bay leaf, ¼ cup finely chopped medium onion, ¼ cup finely chopped green bell pepper, seeds and ribs removed, 1 Tbsp. grated garlic cloves, 5 tsp. Diamond Crystal or 1 Tbsp. Morton salt, ½ tsp. dried Mexican or Italian oregano, and 5 quarts water to a boil in a large pot. Reduce heat to medium and cook, stirring occasionally and adding more hot water if needed to cover, until beans are tender and covered by about ¼"" liquid, 2½–3 hours. Discard bay leaf.
2. Meanwhile, heat ¼ cup extra-virgin olive oil in a medium skillet over medium. Add remaining onion, bell pepper, garlic, and ½ tsp. dried Mexican or Italian oregano; season with kosher salt and freshly ground black pepper. Cook, stirring occasionally, until onion mixture is very soft and beginning to brown, 15–20 minutes. Stir into cooked beans. Top with cilantro leaves with tender stems, if using.",Makes about 2 quarts,"Cook: 2½–3 hours
Total: 3 hours",Beans can be made 3 months ahead. Transfer to an airtight container and freeze.,Rick Martinez,https://www.bonappetit.com/recipe/cuban-style-black-beans
